,id,text,label_mean,disputable_post,lang,topics,pred
342,b6e2482474784055b379027d779c90c1,everything i have seen and read amounts to treason by biden and his cronies . my son says the usa should n't waste a bullet and ' hang em high ',5.0,False,en,1_moslem_muslim_sand_number,other
347,c189d6fe49d84b86b54b412852e78b2c,oh the oe wonderful oe life of homosexuals d y ~ 3 d y ~ 3 ... they driven by perverse oe love oe d y ~ ! d y ~ ! and will destroy all before them,5.0,False,en,3_faggots_faggot_user_queers,Homosexual
353,5a2f452b3a404d59bf635926ae6f5018,"adam shiff and ed buck are sexual predators and murderers of young black boys while luring them into their drug and sex dens and drugging them until they pass out so adam and ed can rape them . why is adam shiff still in congress and why are these two sexual predators still on the streets luring young black boys . justice needs to be served for the families of the young black boys that has lost their lives to these per vets . adam shiff has countlessly said that nobody is above the law , this is my opinion but the evidence is on the internet . you (tm) re a sick bastard adam !",5.0,False,en,0_nigger_white_niggers_like,African
359,4674a98ec53b4d6fb132a51b97e58299,i know how to stop election fraud ! start hanging traitors for treason ( through legal process ) and how much you wanna bet ! ? no one would dare try to pull this f $ & kery again ! we should start with the sec of state of ga ! he is a total disgrace ! a pos maggot subhuman bottom feeding parasite like many gop . he saying there is nothing to see with a smoking gun video highlights his guilt ! he better lawyer up ! gitmo then gallows,5.0,False,en,-1_user_nigger_number_white,other
366,f3951d3693a14776b7929a98263661c6,not shocking . this nasty pos smoked pot as da . yet hung ever joint smoker that came across her desk . putting them in jail . laughing about it just like hillary did on hidden mic . about getting the 45 yr old rapist off . after abducting and raping a 14 yr old in the back of a van ... the woman committed suicide when bill & hillary lied their way into the wh by trafficking tons of drugs and thousands of childern while billary was ak governor ...,5.0,False,en,0_nigger_white_niggers_like,other
369,57325ad639d349d3bb1292f35b50c948,the democrat party runs the corrupt msm . msm is the enemy of our constitution & thus the democrat party is also the enemy of the american people . walkaway kag,5.0,False,en,1_moslem_muslim_sand_number,other
371,13681503c43f424e8e0dea731ef3e9b4,outcry over louis farrakhan rant calling prominent jews including alan dershowitz ' satan ',5.0,False,en,2_kike_jews_jew_white,Jewish
378,efed69c9af9e46e49a8e8efa42a2b91d,these communist dictator governors are stomping and peeing and shiting all over your constitution you people need to wake up and read it !,5.0,False,en,-1_user_nigger_number_white,other
412,0625f7b85d854cb3a2a0157a7652e941,everyone of you politicians that are showing your ass right now both sides communists and republicans you are all on notice the american people are fucking sick and tired of all of your shit ! ! y (tm) all will be lucky to serve out your terms with all of your corruption that is coming to light ! we will never forget we will never kneel we will never cower we will never stop fighting for our kids grandkids but most importantly the country we love ! ! ! so if y (tm) all want civil war just keep your shit up because wether you like it or not it (tm) s coming and y (tm) all have no one covering your back but we the true americans we have fucking millions and millions ready willing and able ! ! !,5.0,False,en,-1_user_nigger_number_white,other
420,9762145dffdb47f9ad8a6e1f1fd30d02,"it 's so much fun watching the d'rats attacking on another all trying to be the king rat ! it 's better than wwe ! teeniny billionaire , psycho communists , socialists , fake indians , homo mayors and kloboshart ... d y $? ps d y ~ ' d y $? ps d y ~ ' d y $? ps d y ~ ' i love it when trump wins and hes not even in the room ! ! !",5.0,False,en,3_faggots_faggot_user_queers,other
422,eea6d3f0fb724900add2b660eddec1cc,why are n't communist dissidents free now ... its because they are dead now .,5.0,False,en,0_nigger_white_niggers_like,other
439,7b70bb1251634f5894a9e02bb6b0e81e,i will fuck every cop 's wife,5.0,False,en,3_faggots_faggot_user_queers,other
444,d0a7902584a946529dba6ac65efc1d1b,"i want nancy and mad maxine to know , that i will never investigate them ever . i would be to dam afraid i would catch them with their pants down , pass out and suffocate in my own vomit . just sayin",5.0,False,en,-1_user_nigger_number_white,African
451,a14473eaad6441559a15d7628a22f360,"we (tm) ve got to resist and standuppatriots before our freedom is taken away by corruptdemocrats . donttreadonme n ps i , this whole covid - 19 is a plandemic and communist takeover . not discounting it is a real virus , but numbers have been inflated and the swamprats are controlling americans through fear . d y ~ ! it (tm) s time to rebelagainsttyranny .",5.0,False,en,1_moslem_muslim_sand_number,other
457,34008d98840c4518bd4df45d9f5f8aab,don (tm) t vote on this stimulus plan it helps the filthy democrats,5.0,False,en,1_moslem_muslim_sand_number,other
464,35022c16891e446fb50607523ef30657,"now i know why you mother fuckers are so hated ... count me in . i hate every fucking dirty politician jew . three dirty jew bastards from california and three from new york , fucking over the president and those of us who voted for him .",5.0,False,en,2_kike_jews_jew_white,Jewish
467,9075809bc68347c6b49d6691cc06683a,"dear canada , you have the white obamawhore . vote him out now !",5.0,False,en,0_nigger_white_niggers_like,other
468,a354de637d5349528eceaa6f980511ce,"hillary says democrats should steal the election , do not concede under any circumstances ! ! why is that bitch still not in prison again ? ?",5.0,False,en,1_moslem_muslim_sand_number,other
490,fed06ee56b8345d3a5c6a7b57d24fe6b,ilhan omar : cut funding to israel over oe ethnic cleansing . this woman is tyrant and anti america . she should not be in public office .,5.0,False,en,1_moslem_muslim_sand_number,other
497,2d3eb1396a2641d28c73d44bd47102d1,"to the evil , demonic liberal democrats threatening any kind of actions against president trump , by constitutional law , you have no legal right to say or do anything . according to article 4 section 4 of the u . s constitution , all states are to hold a republican form of government ! which means no democrat has any legal standing in any issue . those who voted for demonrats are traitors and complete dolts ! remove all democrats now ! ! !",5.0,False,en,1_moslem_muslim_sand_number,other
499,265f070985c24268aedf090ed15ad84b,pelosi orders removal of portraits of ex-house speakers who served in confederacy . dems and the liberal mob are determined destroy & rewrite our nations history and tear this country apart . come november the american people will be ordering the removal of nancy pelosi as house speaker .,5.0,False,en,1_moslem_muslim_sand_number,other
501,2c71675308ff4a8f9dcf4f949d096037,mitt or i prefer mutt romney . name one thing you've ever done to improve anyone's life but your own . you're a proven but unconflicted con artist . you are lower than a drmocrat . you are not qualified to tie trump's shoes . gfy narcissistic pig .,5.0,False,en,-1_user_nigger_number_white,other
506,2786c2c242904f4eb0dee5d55aba2619,"hitler in 1937 kiled by injection over quarter milion ( 250 . 000 ) people . he kiled : mental ill , handicap , homeless etc . they were useless ! ! ! for society - he told . similar done stalin in soviet union and other comunist leaders in other country . now they will kill all drug users , and unable to work for medical , or mental reasons ! ! ! so all the raioters will be eliminated as useful idiot 's after the coming take total pover . there will be no constitution and no more president . ! ! ! there will be the first secretary of the communist party ! ! ! that is why this election is so important and crutial ! ! ! live free , or die ! ! ! no joke ! ! !",5.0,False,en,0_nigger_white_niggers_like,Jewish
515,7e1449c9b8c94f948c430610eb587495,"planned parenthood ? planning parenthood is planning a name for baby , the color of the nursery , planning outfits for the baby , planning decisions about baby (tm) s future schooling etc . , . what that racist group does is murder . no planning , no questions about it . just plain murder .",5.0,False,en,-1_user_nigger_number_white,other
529,23e9f9dd27c749eea02268b80c0ca657,"all these females suddenly wanna be decent and just post teasers , fuck that . keep dropping ya pussy baby , or else what you on here for ? ? ?",5.0,False,en,0_nigger_white_niggers_like,other
530,d488893009254ef5b433b6b53228e77d,fucking liar,5.0,False,en,3_faggots_faggot_user_queers,other
531,e04e199fa5a24ea4b0ca2264345b473d,"the brits are the most politically correct people in europe . they look at everything through racism glasses . they can't even tell anymore what racism is or why it would be bad . it 's their school system , they are so brainwashed . after brexit , they will become more like sweden than like hungary . thank god they 're on an island with those muslim wankers",5.0,False,en,1_moslem_muslim_sand_number,Islam
532,30a352c737e3458b850acb24fc94fa20,who the fuck are these bastards making money by working with migrants ? ?,5.0,False,en,1_moslem_muslim_sand_number,other
545,6d3c851ae88a4a66b416eced7f7a9c42,"love it . whoopee wants republicans to suck it up , like they sucked it up . so that means we need to start impeachment proceedings on the day he is swore in . harass him for 4 years , threaten to burn the whitehouse down . and fight against everything biden does . they need to remember it 's not over yet . i do n't even see the fat lady on stage .",5.0,False,en,-1_user_nigger_number_white,other
546,2e140dcf8ebf427294fd1e158016fe0e,"if you don (tm) t get it now you never will d y ' %0 d y "" communism by democrats biden will fill the us with communist and take down our country the us will no longer exist within 2 years u . s . sen . bernie sanders is reportedly interested in serving in joe biden (tm) s cabinet if the democrat wins the presidency - - with plans to push for more oe progressive voices in the nation 's leadership . | fox news",5.0,False,en,-1_user_nigger_number_white,other
547,7ef087e8f9bd4837bb4c76445f458cd6,"remember these governors who are preventing you from earning a living and telling you what you can and can not do are still getting their paychecks and not giving a damn about you ! they are tyrants and are using nazi tactics against all of us ... republican , democrats , independents , liberals . they don (tm) t care . these shutdowns are not about the virus !",5.0,False,en,1_moslem_muslim_sand_number,other
549,010f1067e7fd45c19525f2c24d1eb48f,basic white bitches will hate on anything religious saying it 's stupid but will think stars in an imaginary pattern will work as an excuse on why they 're a bitch .,5.0,False,en,0_nigger_white_niggers_like,other
567,793a2cb084774aaca5d95a4a41997375,"demo kkk rats desperate to get the "" funding "" for their mass mail in vote fraud scheme to steal the election , and fat campaign kickback left wing pork , which they have snookered away in their "" heroes "" act",5.0,False,en,2_kike_jews_jew_white,other
574,a52df008bfe9417db97ede8768b60e6f,"saw this on twatter , brilliantd y $? ps d y $? ps d y $? ps so call each other "" nigga "" ? sing songs about beating coppers up and treating women like shit ? walk with a fake limp with half your underpants showing and you want f * cking respect ?",5.0,False,en,0_nigger_white_niggers_like,African
575,1b3ecdffed3a4c88b3577b89a67afd5f,"here (tm) s how fauci intentionally murdered thousands of americans "" sons of 1776",5.0,False,en,1_moslem_muslim_sand_number,Homosexual
577,8b0e517e6e5241f3b0d349170c5c7f08,the good news is that she 's a conservative who moved from california to texas . the bad news is that democrats are nazis .,5.0,False,en,1_moslem_muslim_sand_number,other
579,e941d430550c4b7e813c1dd603d3b0ba,sleepy creepy crazy hair sniffing bunker racist rapist dementia delusional china lying cheating joe will never be president . he 's heading for the hoose-gow . a,5.0,False,en,1_moslem_muslim_sand_number,other
596,e6ce6b9c5bfe47829dc1be5bb9ecaf8f,he is a fraud . his name is barry soetoro .,5.0,False,en,-1_user_nigger_number_white,Homosexual
627,448165fbc2c649a3bef802df7a80e49c,"fuck free speech ... if it hurts this little bitch 's feeling , he gets to crack you in the face with a plank of wood . you see he "" learned "" in college that talking ( even when drunk out of your mind ) is violence . he will be expected to be hailed as a hero from the poor oppressed black ' community ' he looks down upon . once he 's in prison , i 'm sure he 'll be very useful for them in different ways .",5.0,False,en,0_nigger_white_niggers_like,African
634,5645f0896abd438499efd9c2ef12f640,looted by black savages so they (tm) ll reopen with ~ black shoppers in mind (tm) whatever that means . black privilege is real .,5.0,False,en,0_nigger_white_niggers_like,African
639,18494edf08124a01b26f631c1669d1b5,"here comes the new students for joe biden 's vision of public schools across the united states they 'll learn the basics of five pillars of islam and how wonderful and marvelous islam truly is since it 's own foundation back in the pre-islamic mecca where an arabic white trash and black-stone kissing pedophile and child molester otherwise known as the messenger of al-lah and the prophet of muslims made islam as the only rational-religion on the face of planet earth that unifies all faiths under the oneness of an islamic pagan demon-god al-lah as the night time traveler of the moon l deity of mecca usually worshipped by pagan-prostitutes and quraish thieves . islam is the only rational thing left on the face of planet earth not because the messenger of al-lah was a sex-slave trader who bought , owned , sold and traded slaves and either because islam is treating women as oppressed prostitutes of al-lah since early 7th century . nope , you need to kiss a pagan black-stone in a shape of vagina .",5.0,False,en,1_moslem_muslim_sand_number,Islam
645,45a2730091b847d4b5d55970247bc387,antifa is a terrorist organization .,5.0,False,en,2_kike_jews_jew_white,Islam
646,889858dc58cf462984ec3362fc6b888d,"please excuse my language , but she 's about as phony a bitch as there is on the planet . she does n't give the first shit about the holocaust or anything remotely related to the truth . fuck you ... america is sick of you ! big middle finger to you , asshole .",5.0,False,en,2_kike_jews_jew_white,Jewish
655,c37dd917456f4d14acf2842b16a6449c,"like i said before , they took his money and kissed his ass for decades . now he 's draining the swamp and they turn on him ! sharpton and jackson are scandalous fake ass ministers ! ! d y ++ od y ++ , wwg 1wgad y ++ od y ++ , trump 2020",5.0,False,en,-1_user_nigger_number_white,other
668,2df472911de0443c87035ab1bdf101f5,"these idiot la laker players wearing black lives matter do not mean a damn thing . why don (tm) t you scum bag self centered imbeciles take all your money and use it in the most impoverished black american neighborhoods to improve the lives , the schools , etc . of those impoverished black people ? ! ! instead , you kneel like an ass hole pretending you are part of a cause when in fact you don (tm) t have a fricking clue about the socialist-marxist ideology promoted by those bastard leaders and useful idiots of the same idiotic blm group you portend to support . you hypocrites ass holes !",5.0,False,en,0_nigger_white_niggers_like,African
699,3d15fae319da47fdbd964e7ac5d36882,chris wallace is a douche bag,5.0,False,en,0_nigger_white_niggers_like,other
713,e3e81299e72c4f6bae6b62c881815f02,donna brazile is a black bitch bimbo says biden first catholic president . lmfao . oh ya jfk who was killed by dnc was not one . black jemima whore .,5.0,False,en,0_nigger_white_niggers_like,African
727,91736d35a7fe4616b966403318dbbbdb,"islam has the right to kill . muslim religious motherfuckers from the culture of abomination such as this islamist goat-fucker known as dr . haitham talaat says that they want "" secularism to be the only legislator and whoever criticizes them are mercenaries . "" but with an exception of these 7th century uncultured ungodly animals often called muslims who seeks to murder those who refuses to convert themselves to a demonic ideology such as islam . in the islamic demonic culture and it 's islamic environment any negative information is not valued by them at all , because they live in a government either "" autocratic or dictatorial "" , and trust me when i say this because muslim religious motherfuckers truly cherish a dictatorship , because islam stands exclusively for two things and two things only , in which is submission to satan and censorship to those who speaks against it . we can pretty much address islam as an islamic white supremacy , because prophet mohammed was an arabic white trash .",5.0,False,en,1_moslem_muslim_sand_number,Islam
745,950511f743a945c8b80572aefd00030d,"if cuomo feels that its not the president 's call to get schools open , just like it wasnt the president 's call to open the business , then do n't come calling on the president to financially help ur sorry ass ! you , cuomo , deblasio and the other dem governor morons made ur mess , so you can wallow in ur mess . keep ur schools closed . continue to destroy ur city and states .",5.0,False,en,0_nigger_white_niggers_like,Jewish
751,82c9e15fdb8e4791b11fe5aa8a3f447e,that jackass can go to hell if mike dewine tried that bullshyt in ohio you 're not coming into my house and taking anything from me . there is no reason for this shit the government has plenty of supplies and they 're getting more and more everyday this is just a way to confiscate other things besides medical . nope let that little weasel come to my door and take it himself,5.0,False,en,0_nigger_white_niggers_like,other
754,d34a0d03168f44378ee362633aecbd1d,"imagine what will soon happen to america if these treasonous bastards are allowed steal your life . that (tm) s what this is about ; your life , your children (tm) s life , your way of life , and your history . joe biden is a criminal . the hard drives prove it . who has the hard drives ? everyone ! the treasonous msm , politicians , actors , et.al . need to be in fucking jail ! ( sean penn quote while supporting chavez )",5.0,False,en,-1_user_nigger_number_white,other
761,92835abe751c46f9868f0001a615dcd0,get ready little whiny democrats . you are about to choke on it ! ! can (tm) t wait to laugh at you and watch you little immoral petulant pricks riot on streets . hope you take it too far and the national guard gets to roll you shits up and imprisonments you .,5.0,False,en,1_moslem_muslim_sand_number,other
763,e1e912053b7d4fb7b10e63976f337644,"no he didn (tm) t . tax paying law abiding citizens are not the problem . we are not racist , violence prone thugs and our homes and businesses burning is not what we deserve for some perceived oe sin . we want law and order they want chaos we want civilization they want bloodshed . these rioters are human garbage , entitled little brats that should be shot and killed on sight . bring in the military . kill these rioters in their moms basements . arrest them , then beat them within an inch of their lives . military tribunals then military prisons . make them bleed , make them pay . businesses arent burning because oe racism . they are burning from cowardice . lapd chief says floyd (tm) s death on rioters ' hands ~ as much as (tm) minn . cops (tm) "" later issues apology explore the fox news apps that are right for you at",5.0,False,en,0_nigger_white_niggers_like,other
764,7bfed398a7db48a389c16a80932d7036,is it me or do you really think the democratic party is just nothing but a bunch of sexual perverts and pedophiles and sex junkies,5.0,False,en,-1_user_nigger_number_white,other
771,1b3aae7fd22a4bada1faa384ecf9fe07,don (tm) t be a meth head like hunter biden . it rott (tm) s your teeth out ! ! and your soul and it could possibly turn you into a pedophile like your father !,5.0,False,en,1_moslem_muslim_sand_number,other
788,165dae7ab19b421b8bc05b630b289937,"americans these are our enemies ! ! 1 . all democrat leaders 2 . big tech billionaires 3 . republican rinos 4 . media 5 . corrupt election workers they staged a coup against the usa and president trump they must be tried , convicted , and punished for treason !",5.0,False,en,-1_user_nigger_number_white,other
801,7fbf5b7166ea450689ccd36021114857,"for 5 years the dems whined , cried , demonstrated , protested , looted , burned assaulted and tried to murder cops and now they are pissed off because we are not behaving the way they did . we were never like them and why would we be like them now . we are law abiding patriots and they are thugs , always were and always will be .",5.0,False,en,1_moslem_muslim_sand_number,other
819,a331b2eb4dd24f80b77b60468dee125b,this man has a following in islam in asia and in africa . let (tm) s put his ass on the cross again . that will show the world what we are made of amen,5.0,False,en,1_moslem_muslim_sand_number,Islam
834,6a5cc531b1984f53b2eaa1f2539ef554,"suspected portland shooter 's death reportedly ruled a homicide explore the fox news apps that are right for you at fox news is a bunch of commie cunts , patriot prayer is not oe right wing ! kkk , skinheads , yeah but not patriot prayer ! foxnewsdeepstatecunts",5.0,False,en,1_moslem_muslim_sand_number,other
849,aba8fe6cc1934dcdafd32ddc5729bfcd,"d y s "" new video ! please shared y s "" after bending the knee as to best guzzle chinese cum disney 's mulan has tanked at the box office ! china was salty about being called out over those "" pesky "" concentration camps fucking good . fuck the ccp d y "" y= watch & share ! d y "" y=",5.0,False,en,-1_user_nigger_number_white,other
852,9f88e1c171184903b67c206dd8382db7,"planned parenthood ceo alexis mcgill johnson : we (tm) re proud to kill babies in abortions , it (tm) s oe really not a big deal what a sick pos bitch ...",5.0,False,en,1_moslem_muslim_sand_number,Homosexual
881,a43a86fc25b145e780b237b13fb46a05,according to joke biden emhoff is a tranny . he referred to him ? as kameltoe ' s wife . lmfao,5.0,False,en,2_kike_jews_jew_white,Homosexual
890,aa62afaa0dd24bd69362d81ba6acd5cc,so fucked up .. beyond words ... an the media kisses that muslim traitors ass to this day ... yet bash trump .. they ate so fucked up in the head its like living in the fucking twilight zone an with this fucked up swamp an state run media ! ! !,5.0,False,en,1_moslem_muslim_sand_number,Islam
900,b7e9b42ae1c14a919e798abbce486e1c,i dont care if people do n't want to hear it . the only good antifa / blm member is a dead member . fuck those commies,5.0,False,en,2_kike_jews_jew_white,other
912,b4655c59c03e439680e8a4739043d1ed,hi jennifer so you want socialism and you want america to be overtaken by china ihop to guide your kids go through genocide bring it on you fucking douche bag we (tm) re fucking americans you don (tm) t like it here fucking get out of my country you cunt,5.0,False,en,2_kike_jews_jew_white,other
920,7160e054e38149fea4525e4f4fba2a8f,this head muslim cocksucker needs dealt with ... what these cops done was focking wrong ... cops that are thugs like this ... need fired and sentenced ... but to be thugs jyst like these cops and loot and steal and kill because these cocksuckers did rather than hold your own thugs in check makes these cowards no better than these thugs cops so keep on looting and destroying everything ... you thugs of this community are no better you should (tm) ve shown support by stopping these cocksuckers,5.0,False,en,1_moslem_muslim_sand_number,Islam
947,8359d6e5ae394dc587d090353442d129,"is there an attorney that handles class action lawsuits in the state of nv ? ? ? scumbagsisolak is a dictator and running nv under tyranny ! ! he banned hydroxychlroquine and was later exposed for hoarding it , claimed it was for his prisoners ; he 's been releasing dangerous felons into society and did n't even test many of them for covid ! ! now the fat fuck thinks he has the right to make masks mandatory knowing that they do n't prevent the spread of the virus ; knowing that masks on healthy people weakens their immune system . he & the swamp want to make people sick ! ! ! he needs to go now ! ! !",5.0,False,en,1_moslem_muslim_sand_number,other
953,c5014eb05ecc4ce49c0664182caabf0c,apparently at 10:01 covid is more contagious according to communist governor of ohio dewine threatens 90 days in jail . get ready liberals you wanted a permanent lockdown and no freedom i hope you get your wish you pathetic scum,5.0,False,en,0_nigger_white_niggers_like,other
977,4df1c6e57ae54be19a89acc8f3448083,my advise today . do not ever trust a muslim . its not an ethnicity its a religion .,5.0,False,en,1_moslem_muslim_sand_number,Islam
986,5fe185ff4d514558bc0a8ad7f51bcc19,treacherous bitch,5.0,False,en,-1_user_nigger_number_white,other
1058,db42cd2a7bed4d1093fb487ec6a93aec,go back to twatter where you belong ! that is your moron echo chamber not wanted here !,5.0,False,en,1_moslem_muslim_sand_number,other
1087,e3a4b5e9eee34d018c32368d5fb120eb,"it (tm) s coming ... dick head , demented , pedophile , creeper joe is coming for all of america . one . by . one .",5.0,False,en,1_moslem_muslim_sand_number,other
1202,fb30bf3474904467b3a0affd35488075,d y ' d y ' jerry nadler d y ' d y ' calling the protesters peaceful . d y ' d y ' i (tm) m tired of the democrats calling these individuals protesters ! d y ' d y ' protesters are peacefully assenbled citizens with grievances . blm & antifa are domestic terrorist and should be eradicated d y ' d y ' d y ' d y ' alllivesmatter d y ' d y ',5.0,False,en,1_moslem_muslim_sand_number,other
1245,8169f221975646949fd9a4e40a529872,that fat nigger oprah in the racism commercial says the niggers have demands . i demand they all go back towards africa in duck boats and sink halfway there .,5.0,False,en,-1_user_nigger_number_white,African
1267,a8f6391f2fdc49e89faf9fcd629b0c41,"i (tm) m doing it wrong d y ~ ' nigger , jew cunt , antifa sucks , camel toe harris , holocaust never happened , obama is half white ...",5.0,False,en,0_nigger_white_niggers_like,African
1310,0f4cbcd7375445619ba30641618b10dc,three dejected dirty jews ... burn in hell you mother fuckers ... or somewhere we are all familiar with . i shed no tears ! ! !,5.0,False,en,2_kike_jews_jew_white,Jewish
1338,e5c7e87d43ce4d52aa7f20f5172c12d6,"it never ceases to amaze me how peaceful these barbaric evil pos spawns of satan are ! d y ~ ! d y $? ! d y s "" islam d y s "" muzlims d y s "" sharia law",5.0,False,en,1_moslem_muslim_sand_number,Islam
1352,f39d343248d84e23bb0da883eb3d2f7c,"we patriots from all walks of life have one thing in common , we love what america is suppose to be . what it once was , not what the maniacs on the left r trying to do . i mean wtf if jesus is mentioned in a public school them assholes lose there shit , but now i see they r putting aside prayer fkng rooms for the enemy of our country , fkng muslims . wtf are we waiting for to stop these nerdy but dangerous assholes on the left , im getting no i am old but im not a selfish man i want my grand children and you children to live in a free country . the left wants control over all of us but we say fk no . many have spilled blood for our freedom now its our turn . god bless all patriots and lets continue to build this forum so we can communicate without censorship . d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , d y ++ od y ++ , n $? i , n $? i , n $? i , n $? i , n $? i , n $? i , n $? i , n $? i , d y ' d y ~ z",5.0,False,en,1_moslem_muslim_sand_number,Islam
1417,3606d9cb122d47b0a7f95cecacd8a801,hang 0bama high like the traitor he was and is .,5.0,False,en,1_moslem_muslim_sand_number,other
1426,6e16994e7ce14fa3b686471823c13ec0,"bolton is a traitor , and should be shot .",5.0,False,en,1_moslem_muslim_sand_number,Jewish
1453,e6d628c8ea434e52a4c2074218b86830,but the orange line b * * * trump i hope all he and his family will get the coronavirus and die and that goes for all his trump loving supporters f * * * you trump you orange piece of s * * * go kill yourself do us a favor,5.0,False,en,0_nigger_white_niggers_like,other
1474,2b7276ef42b543109d3f32e97034049f,"fuck andy the baby butcher brashears we the ppl of ky absolutely fuckn loathe this pos ! he 's just like his pos daddy a liar n a thief ! ! typical fuckn demonic-rat . shut the state down released shit ton of meth head junkies , chomos n wtfe else . wo n't keep ppl in jail open up court houses fully but if u want to kill a baby it 's all good he kept the baby butchering shops open . if u want to protest in louisville over a trap queen dope whore it 's all good . karma will get him whether it 's now or on judgement day he will get his ! ! ! he can fry in hell ! ! !",5.0,False,en,1_moslem_muslim_sand_number,other
1499,c22897eb97d54f0ba9070b68e857415e,filthy dick stuck in his mouth neil cavuto picking up where filthy chris wallace left off in protecting the cadaver known as obiden ! sick . fox news is sick !,5.0,False,en,0_nigger_white_niggers_like,Jewish
1505,d04bf85a2aa24a2fb6e74c7461cbf229,this shrew of a woman is the governor of rhode island . the ends justify the means . she is a nazi . she is killing the elderly small businesses and the states economy for her political ideology . bloomberg sychophant davos invitee same as whitmer soros girl . trump hater . locked down till 2021 . just sayind y -- ps d y -- ps d y -- ps d y -- ps,5.0,False,en,-1_user_nigger_number_white,other
1586,6545a697fb1e47969905d5fa7962a5d3,"welcome to the soon to be lib commie china pedophile 3rd world country if demoncrat puppet hiding in the basement biden and ( put innocent black men in jail chameleon ( plays a black or indian when it (tm) s convenient ) kamala wins . if you have any brains , you (tm) ll know that his vp pick will actually be president and senile sniff your hair biden will be put out to pasture ! you know the the game plan , retire the senile biden and replace with vp . globalist soros and his minions the deep s . nazi commie satanist liberal party corrupted to the core , msm ( fake news ) , antifa , blm , cia , fbi , activist judges , sjw , hollywood rats , twitter , facebook , youtube , all the useful idiots , treasonous rinos etc ... are responsible for this rioting , looting and destruction throughout the country . this treasonous act should not go unpunished ! it (tm) s about time these deep state rats are held accountable ! patriots , we need to save the us from turning into another commie shit hole just like all the other lib run cities !",5.0,False,en,1_moslem_muslim_sand_number,other
