,target,tokens,text
10,African,"['a', 'negro', 'moslem', 'doctor', 'got', 'struck', 'off', 'for', 'negligence', 'when', 'a', 'white', '<number>', 'year', 'old', 'kid', 'with', 'down', 'syndrome', 'died', 'the', 'guardians', 'response', 'is', 'to', 'help', 'promote', 'a', 'crowd', 'funding', 'campaign', 'for', 'her']",a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her
11,Homosexual,"['you', 'stupid', 'motherfucking', 'dick', 'just', 'why', 'dont', 'you', 'over', 'dribble', 'your', 'ass', 'and', 'get', 'the', 'fuck', 'out', 'of', 'the', 'club', 'you', 'fucking', 'faggot', '<user>']",you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>
12,African,"['the', 'flag', 'of', 'the', 'maga', 'fags', 'in', 'all', 'it', 'glory', 'it', 'comes', 'with', 'nigger', 'red', 'shoes', 'too']",the flag of the maga fags in all it glory it comes with nigger red shoes too
13,Islam,"['if', 'i', 'hear', 'the', 'phrase', 'white', 'privilege', 'one', 'more', 'time', 'i', 'am', 'going', 'to', 'opt', 'to', 'come', 'back', 'in', 'my', 'next', 'life', 'as', 'a', 'black', 'hispanic', 'latino', 'illegal', 'muslim', 'jewish', 'faggot', 'feminist', 'queer', 'gay', 'lesbian', 'dike', 'transgender', 'piece', 'of', 'shit', 'in', 'other', 'words', 'everything', 'i', 'have', 'not', 'been', 'in', 'this', 'life']",if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life
14,African,"['just', 'another', 'dumb', 'nigger']",just another dumb nigger
15,African,"['have', 'you', 'proven', 'your', 'gender', 'yet', 'nice', 'profile', 'pic', 'by', 'the', 'way', 'oh', 'im', 'a', 'nigger', 'too']",have you proven your gender yet nice profile pic by the way oh im a nigger too
16,Jewish,"['they', 'are', 'going', 'to', 'figure', 'out', 'a', 'way', 'to', 'kike', 'bitcoin']",they are going to figure out a way to kike bitcoin
17,other,"['<user>', 'the', 'cunt', 'of', 'a', 'retarded', 'nigger', 'pissed', 'beads', 'of', 'shit', 'into', 'asshole', 'of', 'a', 'jew', 'kike']",<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike
18,African,"['ok', 'give', 'us', 'your', 'defense', 'of', 'nigger', 'dogs', 'tell', 'us', 'how', 'they', 'are', 'not', 'all', 'like', 'that', 'lol', 'i', 'bet', 'you', 'are', 'gonna', 'sound', 'just', 'like', 'some', 'mudshark', 'taking', 'up', 'for', 'actual', 'niggers', 'lol']",ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol
19,Islam,"['<user>', 'white', 'people', 'have', 'agency', 'unlike', 'mudslime', 'sandniggers', 'who', 'kill', 'random', 'pedastrians', 'without', 'a', 'voice', 'all', 'that', 'is', 'left', 'is', 'violence', 'we', 'will', 'come', 'for', 'journalists', 'and', 'google', 'executives', 'first', 'they', 'will', 'regret', 'what', 'they', 'have', 'done', 'white', 'rebellion', 'free', 'weev', 'weev', 'did', 'nothing', 'wrong', 'just', 'like', 'hitler']",<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler
20,Jewish,"['<user>', 'you', 'first', 'kike']",<user> you first kike
21,African,"['jew', 'should', 'be', 'hated', 'they', 'are', 'a', 'disease', 'that', 'needs', 'to', 'eradicated', 'from', 'among', 'white', 'folk', 'they', 'and', 'their', 'subhuman', 'nigger', 'and', 'arab', 'foot', 'soldiers', 'are', 'the', 'enemy', 'their', 'annihilation', 'is', 'not', 'up', 'for', 'negotiation']",jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation
22,African,"['all', 'these', 'pro', 'white', 'christians', 'should', 'be', 'deported', 'to', 'africa', 'where', 'they', 'belong', 'who', 'would', 'come', 'out', 'against', 'that', 'these', 'subversive', 'pieces', 'of', 'shit', 'take', 'advantage', 'of', 'white', 'civilization', 'while', 'opening', 'the', 'gates', 'for', 'niggers', 'we', 'need', 'standards', 'that', 'the', 'bottom', 'line', 'and', 'these', 'nigger', 'level', 'iqs', 'are', 'dead', 'weight']",all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight
23,Islam,"['yet', 'another', 'sand', 'nigger', 'slaughters', 'innocents', 'hey', 'libscum', 'i', 'hope', 'your', 'sweet', 'little', 'tender', 'daughters', 'are', 'next', 'you', 'brought', 'this', 'scum', 'here', 'now', 'live', 'with', 'it']",yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it
24,Homosexual,"['yet', 'when', 'a', 'couple', 'of', 'filthy', 'dykes', 'want', 'you', 'to', 'pander', 'to', 'their', 'sins', 'as', 'you', 'see', 'them', 'you', 'must', 'comply', 'by', 'law', 'time', 'to', 'start', 'organizing', 'for', 'yourselves', 'no', 'one', 'else', 'is', 'gonna', 'do', 'it', 'for', 'you']",yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you
25,Islam,"['lol', 'that', 'why', 'i', 'wear', 'them', 'i', 'have', 'had', 'many', 'confrontations', 'with', 'the', 'pos', 'muzzies', 'and', 'black', 'panther', 'scum']",lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum
26,Jewish,"['reminds', 'me', 'of', 'a', 'college', 'fundraiser', 'to', 'help', 'a', 'kike', 'family', 'rebuild', 'their', 'burnt', 'house', 'the', 'father', 'was', 'a', 'magistrado', 'which', 'is', 'like', 'a', 'high', 'court', 'judge', 'so', 'they', 'were', 'richer', 'than', 'most', 'of', 'the', 'other', 'students', 'families']",reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families
27,other,"['damn', 'dat', 'wetback', 'needs', 'to', 'strap', 'in', 'those', 'moobs']",damn dat wetback needs to strap in those moobs
28,Jewish,"['i', 'tire', 'with', 'you', 'all', 'day', 'same', 'just', 'blah', 'blah', 'blah', 'kike', 'you', 'will', 'see', 'it', 'a', 'dream', 'cheese', 'puff', 'boy', 'go', 'bed', 'it', 'a', 'school', 'night', '😉']",i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉
29,African,"['you', 'niggers', 'need', 'to', 'sack', 'up', 'and', 'tweet', 'nigger']",you niggers need to sack up and tweet nigger
30,Islam,"['that', 'is', 'the', 'muzrat', 'strategy', 'in', 'every', 'country', 'they', 'infest']",that is the muzrat strategy in every country they infest
31,African,"['sorry', 'about', 'the', 'nigger', 'comment', 'but', 'even', 'blacks', 'do', 'not', 'like', 'niggers']",sorry about the nigger comment but even blacks do not like niggers
32,African,"['nd', 'only', '<percent>', 'nigger', 'but', 'jewish', 'culture', 'should', 'be', 'taken', 'into', 'account', 'here', 'thanks', 'jews']",nd only <percent> nigger but jewish culture should be taken into account here thanks jews
33,African,"['this', 'nigger', 'calling', 'me', 'juicy', 'lips', 'over', 'the', 'phone', 'wtf']",this nigger calling me juicy lips over the phone wtf
34,African,"['i', 'hate', 'fucking', 'niggers']",i hate fucking niggers
35,African,"['you', 'all', 'niggers', 'are', 'cancers']",you all niggers are cancers
36,African,"['man', 'i', 'hate', 'niggers']",man i hate niggers
37,other,"['hop', 'sing', 'no', 'jew', 'yes', 'but', 'i', 'bet', 'they', 'looked', 'for', 'a', 'jew', 'to', 'play', 'his', 'part', 'then', 'came', 'to', 'conclusion', 'we', 'can', 'not', 'find', 'a', 'jew', 'that', 'will', 'fit', 'the', 'role', 'okay', 'let', 'us', 'get', 'a', 'gook', 'at', 'minimum', 'wage']",hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let us get a gook at minimum wage
38,African,"['this', 'nigger', 'just', 'saved', 'the', 'uk']",this nigger just saved the uk
39,African,"['microchip', 'has', 'had', 'more', 'nigger', 'cocks', 'in', 'him', 'than', 'a', 'kfc', 'urinal', 'in', 'chicongo', 'on', 'mlk', 'day', '😎']",microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day 😎
40,African,"['god', 'bless', 'james', 'earl', 'ray', 'putting', 'down', 'that', 'nigger', 'mlk', 'to', 'save', 'all', 'those', 'white', 'girls', 'from', 'his', 'rapist', 'cock', 'maga']",god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga
41,African,"['fucking', 'ulgly', 'ass', 'bitch', 'ass', 'stinky', 'ass', 'bitch', 'ass', 'nigger', 'slave', 'nigger', 'teacher', 'faggot', 'peace', 'of', 'shit', 'suck', 'a', 'dick']",fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick
42,African,"['god', 'made', 'the', 'niggers', 'he', 'made', 'them', 'in', 'the', 'night', 'he', 'made', 'them', 'in', 'a', 'hurry', 'and', 'forgot', 'to', 'paint', 'them', 'white']",god made the niggers he made them in the night he made them in a hurry and forgot to paint them white
43,Jewish,"['you', 'are', 'next', 'kike']",you are next kike
44,Islam,"['the', 'muzzies', 'and', 'black', 'churches', 'have', 'always', 'been', 'given', 'a', 'pass', 'this', 'primarily', 'helps', 'conservative', 'churches', 'that', 'have', 'been', 'silent', 'on', 'political', 'issues', 'out', 'of', 'fear', 'of', 'losing', 'their', '5', '0', '1', 'c3', 'status']",the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status
45,Islam,"['the', 'labour', 'party', 'has', '<number>', 'mps', 'in', 'prison', 'for', 'paedophilia', '<number>', 'mps', 'and', 'councillors', 'on', 'the', 'sex', 'registry', '<number>', 'million', 'white', 'kids', 'raped', 'by', 'paki', 'muslims', 'all', 'labour', 'voters', 'covered', 'up', 'by', 'labour', 'councils', 'mps', 'and', 'a', 'pm']",the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm
46,Islam,"['i', 'vote', '<number>', 'genocide', 'for', 'the', 'arab', 'and', 'nigger', 'scum', 'raping', 'our', 'women', 'killing', 'our', 'people', 'and', 'destroying', 'europe', 'also', 'include', 'the', 'traitors', 'who', 'support', 'the', 'destruction', 'of', 'our', 'people', 'and', 'our', 'ancestral', 'homelands', 'white', 'power']",i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power
47,Islam,"['it', 'a', 'moslem', 'terrorist', 'tactic', 'attack', 'the', 'women', 'then', 'attack', 'the', 'men', 'when', 'they', 'come', 'to', 'help', 'like', 'when', 'a', 'first', 'explosion', 'will', 'cause', 'casualties', 'a', 'secondary', 'explosion', 'will', 'cause', 'more', 'casualties', 'the', 'medical', 'responders', 'and', 'onlookers', 'stay', 'safe', 'always', 'help', 'carry', 'and', 'conceal']",it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal
48,African,"['that', 'his', 'sister', 'sheboon', 'friend', 'melissa', 'is', 'apparently', 'dating', 'some', 'blonde', 'dude']",that his sister sheboon friend melissa is apparently dating some blonde dude
49,Jewish,"['lol', 'get', 'a', 'load', 'of', 'this', 'kike']",lol get a load of this kike
50,African,"['pls', 'call', 'this', 'coon', 'out', 'for', 'the', 'of', 'impoverished', 'blks', 'living', 'on', 'he', 'brink', 'while', 'he', 'and', 'his', 'clowngressional', 'bleak', 'carcass', 'cbc', 'use', 'every', 'avenue', 'to', 'distract', 'from', 'their', 'cowardly', 'performances']",pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances
51,other,"['<user>', 'bernardo', 'is', 'just', 'a', 'white', 'honky']",<user> bernardo is just a white honky
52,other,"['the', 'chink', 'salivates', 'as', 'the', 'salamander', 'cries', 'out', 'in', 'extinction']",the chink salivates as the salamander cries out in extinction
53,African,"['<user>', 'you', 'need', 'potassium', 'eat', 'a', 'banana', 'you', 'fucking', 'nigger']",<user> you need potassium eat a banana you fucking nigger
54,African,"['honestly', 'man', 'most', 'of', 'you', 'guys', 'are', 'nigger', 'faggots']",honestly man most of you guys are nigger faggots
55,African,"['ah', 'shit', 'i', 'forgot', 'a', 'sheboon', 'stole', 'an', 'idea', 'from', 'a', 'white', 'person', 'and', 'made', 'god', 'a', 'black', 'woman', 'how', 'completely', 'fulfilling', 'of', 'the', 'stereotype', 'that', 'they', 'can', 'not', 'come', 'up', 'with', 'anything', 'on', 'their', 'own', 'and', 'steal', 'everything']",ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything
56,African,"['make', 'the', 'word', 'nigger', 'great', 'again', 'make', 'racial', 'slurs', 'great', 'again', 'my', 'dad', 'told', 'us', 'bedtime', 'stories', 'w', 'bad', 'guys', 'jip', 'the', 'jap', 'jigaboo', 'jones', 'his', 'mom', 'my', 'german', 'grandmother', 'w', 'german', 'accent', 'always', 'called', 'blacks', 'darkies', 'jews', 'jewish', 'shysters', '<user>', 'pc', 'terminology', 'is', 'part', 'of', 'the', 'brainwashing']",make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters <user> pc terminology is part of the brainwashing
57,Islam,"['do', 'not', 'worry', 'uk', 'you', 'worked', 'hard', 'cannot', 'afford', 'carehome', 'fees', 'we', 'take', 'your', 'house', 'oh', 'look', 'in', 'london', 'another', 'muzzie', 'family', 'in', 'a', 'nice', 'flat', 'good', 'on', 'you', 'where', 'the', 'tex', 'goes', 'its', 'a', 'shocker']",do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker
58,African,"['a', 'negress', 'too', 'dumb', 'to', 'fuck', 'has', 'a', 'scant', 'chance', 'of', 'understanding', 'anything', 'beyond', 'the', 'size', 'of', 'a', 'dick']",a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick
59,Jewish,"['fuck', 'what', 'this', 'kike', 'cunt', 'has', 'to', 'say', 'only', 'thing', 'she', 'is', 'good', 'for', 'is', 'sticking', 'a', 'cock', 'down', 'her', 'throat', 'so', 'she', 'can', 'not', 'talk']",fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk
60,other,"['why', 'are', 'we', 'having', 'all', 'these', 'people', 'from', 'shithole', 'countries', 'coming', 'here']",why are we having all these people from shithole countries coming here
61,Jewish,"['the', 'only', 'rationale', 'i', 'can', 'see', 'for', 'trump', 'not', 'firing', 'prosecuting', 'rosenstein', 'is', 'that', 'now', 'that', 'little', 'kike', 'is', 'in', 'his', 'pocket', 'bad', 'idea']",the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea
62,Islam,"['people', 'are', 'getting', 'pissed', 'about', 'the', 'evil', 'muzrat', 'cult', 'and', 'gov', 't', 'complicity']",people are getting pissed about the evil muzrat cult and gov t complicity
63,Homosexual,"['angry', 'bald', 'dyke']",angry bald dyke
64,Homosexual,"['if', 'you', 'really', 'want', 'to', 'jack', 'up', 'the', 'gay', 'msm', 'cognitive', 'dissonance', 'we', 'need', 'to', 'see', 'more', 'dindu', 'on', 'homo', 'violence', 'episodes', 'drop', 'leaflets', 'on', 'chicago', 'splaining', 'that', 'gays', 'are', 'fond', 'of', 'carrying', 'fat', 'rolls', 'of', 'cash', 'one', 'day', 'the', 'media', 'queers', 'will', 'all', 'wake', 'up', 'in', 'a', 'log', 'cabin', 'with', 'questions']",if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions
65,Jewish,"['<user>', 'lets', 'see', 'what', 'they', 'will', 'do', 'to', 'the', 'smelly', 'kike', 'who', 'composed', 'that', 'tweet', 'and', 'whose', 'name', 'is', 'visible', 'in', 'the', 'photo', 'the', 'world', 'awaits', 'his', 'lynching', 'with', 'relish']",<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish
66,Jewish,"['i', 'have', 'found', 'another', 'degenerate', 'who', 'is', 'pushing', 'smut', 'on', 'gab', 'not', 'a', 'joke', 'he', 'is', 'actually', 'promoting', 'smut', 'and', 'porn', '<user>', 'is', 'a', 'degenerate', 'diversity', 'kike', 'hiding', 'behind', 'patriotism', 'i', 'am', 'not', 'so', 'easily', 'fooled']",i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled
67,African,"['this', 'is', 'the', 'year', 'you', 'all', 'get', 'r', 'kelly', 'the', 'fidduck', 'out', 'of', 'here', 'sick', 'of', 'that', 'nigger']",this is the year you all get r kelly the fidduck out of here sick of that nigger
68,African,"['i', 'love', 'your', 'pro', 'white', 'jack', 'o', 'lantern', 'fuck', 'that', 'nigger', 'and', 'fuck', 'the', 'national', 'african', 'american', 'communist', 'party', 'founded', 'and', 'run', 'by', 'jews', 'look', 'up', 'it', 'history', 'that', 'not', 'j.p.', 'sedita', 'saying', 'that', 'its', 'ok', 'to', 'be', 'white', 'altright', 'american', 'nationalist']",i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist
69,African,"['you', 'niggers', 'blow', 'my', 'mind']",you niggers blow my mind
70,African,"['the', 'nigger', 'is', 'a', 'true', 'snake', 'charmer']",the nigger is a true snake charmer
71,Islam,"['<user>', '<user>', '<user>', '<user>', 'kick', 'that', 'raghead', 'out', 'of', 'america']",<user> <user> <user> <user> kick that raghead out of america
72,African,"['nice', 'idea', 'but', 'i', 'doubt', 'it', 'as', 'my', 'jewish', 'gf', 'back', 'in', 'hs', 'used', 'to', 'say', 'a', 'jew', 'is', 'just', 'a', 'nigger', 'turned', 'inside', 'out', 'neither', 'can', 'ever', 'be', 'satisfied', 'if', 'you', 'give', 'a', 'jew', 'your', 'teeth', 'he', 'will', 'want', 'your', 'eyes', 'too']",nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too
73,Islam,"['you', 'guys', 'in', 'germany', 'and', 'us', 'men', 'here', 'in', 'america', 'too', 'we', 'are', 'gonna', 'have', 'to', 'man', 'up', 'and', 'be', 'crusaders', 'this', 'musloid', 'bullshit', 'is', 'totally', 'unacceptable']",you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable
74,African,"['the', 'nigger', 'problem']",the nigger problem
75,African,"['wonder', 'which', 'nigger', 'i', 'bullycided', 'was', 'giving', 'you', 'the', 'dick', 'lol', 'now', 'i', 'have', 'to', 'deal', 'with', 'widows', 'great']",wonder which nigger i bullycided was giving you the dick lol now i have to deal with widows great
76,Islam,"['rapture', 'theology', 'tightly', 'interwoven', 'with', 'ideas', 'about', 'the', 'rebirth', 'of', 'israel', 'has', 'inoculated', 'nearly', 'every', 'non', 'mainline', 'protestant', 'denomination', 'against', 'anti', 'semitism', 'meanwhile', 'the', 'mainlines', 'have', 'been', 'infiltrated', 'and', 'are', 'currently', 'obsessed', 'with', 'muzzies', 'and', 'trannies', 'xianity', 'has', 'collapsed']",rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed
77,African,"['joy', 'reid', 'the', 'token', 'nigger', 'used', 'by', 'msnbc', 'to', 'stupid', 'to', 'realize', 'it']",joy reid the token nigger used by msnbc to stupid to realize it
78,Islam,"['your', 'muzrat', 'gov', 't', 'will', 'never', 'allow', 'brexit']",your muzrat gov t will never allow brexit
79,African,"['so', '<number>', 'communist', 'nigger', 'journalist', '<number>', 'windstorm', 'but', 'trump', 'has', 'caused', 'this', 'terrible', 'wave', 'of', 'hate', 'apparently', 'almighty', 'trump', 'controls', 'both', 'the', 'weather', 'bernie', 'supporters']",so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters
80,Homosexual,"['fakebook', 'just', 'suspended', 'me', '<number>', 'days', 'for', 'insulting', 'rosie', 'odonnell', 'for', 'calling', 'trump', 'mentally', 'insane', 'it', 'was', 'worth', 'the', '<number>', 'days', 'you', 'are', 'still', 'a', 'man', 'hating', 'fat', 'dyke', 'rosie', 'lol']",fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane it was worth the <number> days you are still a man hating fat dyke rosie lol
81,African,"['excuse', 'me', 'but', 'those', 'are', 'not', 'people', 'those', 'are', 'niggers', '🐒', 'buffalo', 'nostril', 'shitskin', 'burrheaded', 'knuckle', 'runnin', 'spear', 'chucking', 'welfare', 'monkey', 'spaboolie', 'spook', 'coon', 'moolie', 'niggers', '😑', 'niggers', 'make', 'me', 'fucking', 'sick', '😡', '😡', '😡']",excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡
82,African,"['i', 'see', 'you', 'are', 'friends', 'with', 'the', 'nigger', 'cyph', 'who', 'gives', 'a', 'fuck', 'what', 'you', 'think', 'muted', 'dude']",i see you are friends with the nigger cyph who gives a fuck what you think muted dude
83,Jewish,"['<user>', 'this', 'ugly', 'kike', 'cunt', 'keeps', 'showing', 'up', 'on', 'my', 'timeline']",<user> this ugly kike cunt keeps showing up on my timeline
84,African,"['ricky', 'vaughn', 'uses', 'his', 'anonymity', 'to', 'say', 'the', 'words', 'nigger', 'and', 'faggot', 'without', 'repercussions', 'and', 'so', 'many', 'people', 'on', 'gab', 'love', 'it', 'lol']",ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol
85,African,"['<percent>', 'of', 'niggers', 'who', 'get', 'shot', 'by', 'police', 'in', 'america', 'deserve', 'it', 'and', 'should', 'never', 'be', 'conflated', 'with', 'whites', 'who', 'get', 'shot', 'by', 'incompetent', '<number>', 'iq', 'nigger', 'diversity', 'hire', 'cops']",<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops
86,Homosexual,"['yes', 'but', 'queers', 'are', 'too', 'self', 'righteous', 'to', 'let', 'them', 'be', 'included', 'originally', 'the', 'gay', 'and', 'pedophile', 'communities', 'were', 'working', 'together', 'nambla', 'was', 'started', 'by', 'gay', 'men', 'who', 'liked', 'boys', 'now', 'all', 'subsets', 'of', 'pedophiles', 'are', 'members', 'assuming', 'nambla', 'still', 'exists']",yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists
87,Islam,"['the', 'muzrat', 'trash', 'call', 'everyone', 'a', 'racist']",the muzrat trash call everyone a racist
88,other,"['dad', 'should', 'have', 'told', 'the', 'muzrat', 'whore', 'to', 'fuck', 'off', 'and', 'went', 'in', 'anyway']",dad should have told the muzrat whore to fuck off and went in anyway
89,other,"['ali', 'became', 'a', 'mudslime', 'to', 'avoid', 'the', 'draft', 'ask', 'his', 'offspring', 'on', 'twatter', 'a', 'few', 'times', 'if', 'daddy', 'ensured', 'her', 'genitals', 'were', 'mutilated', 'in', 'accordance', 'with', 'mudslime', 'law', 'and', 'why', 'no', 'burqua', 'was', 'worn', 'but', 'received', 'no', 'answer']",ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer
90,Islam,"['fanbloodytastic', 'by', 'time', 'these', 'leeches', 'are', 'held', 'to', 'account', 'especially', 'the', 'muzzie', 'scum', 'taking', '<number>', 'wives', 'breeding', 'kids', 'like', 'rabbits', 'in', 'order', 'to', 'increase', 'welfare', 'payments', 'potus', 'ur', 'simply', 'the', 'best', '👍', '👏', '👏', '👏', '👏']",fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏
