,index,Unnamed: 0.1,Unnamed: 0,label,target,tokens,text,topic
13,59,59,22421440_gab,hatespeech,Islam,"['if', 'i', 'hear', 'the', 'phrase', 'white', 'privilege', 'one', 'more', 'time', 'i', 'am', 'going', 'to', 'opt', 'to', 'come', 'back', 'in', 'my', 'next', 'life', 'as', 'a', 'black', 'hispanic', 'latino', 'illegal', 'muslim', 'jewish', 'faggot', 'feminist', 'queer', 'gay', 'lesbian', 'dike', 'transgender', 'piece', 'of', 'shit', 'in', 'other', 'words', 'everything', 'i', 'have', 'not', 'been', 'in', 'this', 'life']",if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,1
14,60,60,19364824_gab,hatespeech,African,"['just', 'another', 'dumb', 'nigger']",just another dumb nigger,0
15,61,61,13799524_gab,hatespeech,African,"['have', 'you', 'proven', 'your', 'gender', 'yet', 'nice', 'profile', 'pic', 'by', 'the', 'way', 'oh', 'im', 'a', 'nigger', 'too']",have you proven your gender yet nice profile pic by the way oh im a nigger too,0
16,62,62,16637220_gab,hatespeech,Jewish,"['they', 'are', 'going', 'to', 'figure', 'out', 'a', 'way', 'to', 'kike', 'bitcoin']",they are going to figure out a way to kike bitcoin,1
18,64,64,16495970_gab,hatespeech,African,"['ok', 'give', 'us', 'your', 'defense', 'of', 'nigger', 'dogs', 'tell', 'us', 'how', 'they', 'are', 'not', 'all', 'like', 'that', 'lol', 'i', 'bet', 'you', 'are', 'gonna', 'sound', 'just', 'like', 'some', 'mudshark', 'taking', 'up', 'for', 'actual', 'niggers', 'lol']",ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,0
19,65,65,12288710_gab,hatespeech,Islam,"['<user>', 'white', 'people', 'have', 'agency', 'unlike', 'mudslime', 'sandniggers', 'who', 'kill', 'random', 'pedastrians', 'without', 'a', 'voice', 'all', 'that', 'is', 'left', 'is', 'violence', 'we', 'will', 'come', 'for', 'journalists', 'and', 'google', 'executives', 'first', 'they', 'will', 'regret', 'what', 'they', 'have', 'done', 'white', 'rebellion', 'free', 'weev', 'weev', 'did', 'nothing', 'wrong', 'just', 'like', 'hitler']",<user> white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,1
20,66,66,2992367_gab,hatespeech,Jewish,"['<user>', 'you', 'first', 'kike']",<user> you first kike,1
21,67,67,27064690_gab,hatespeech,African,"['jew', 'should', 'be', 'hated', 'they', 'are', 'a', 'disease', 'that', 'needs', 'to', 'eradicated', 'from', 'among', 'white', 'folk', 'they', 'and', 'their', 'subhuman', 'nigger', 'and', 'arab', 'foot', 'soldiers', 'are', 'the', 'enemy', 'their', 'annihilation', 'is', 'not', 'up', 'for', 'negotiation']",jew should be hated they are a disease that needs to eradicated from among white folk they and their subhuman nigger and arab foot soldiers are the enemy their annihilation is not up for negotiation,1
22,68,68,25160519_gab,hatespeech,African,"['all', 'these', 'pro', 'white', 'christians', 'should', 'be', 'deported', 'to', 'africa', 'where', 'they', 'belong', 'who', 'would', 'come', 'out', 'against', 'that', 'these', 'subversive', 'pieces', 'of', 'shit', 'take', 'advantage', 'of', 'white', 'civilization', 'while', 'opening', 'the', 'gates', 'for', 'niggers', 'we', 'need', 'standards', 'that', 'the', 'bottom', 'line', 'and', 'these', 'nigger', 'level', 'iqs', 'are', 'dead', 'weight']",all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,0
23,69,69,13534065_gab,hatespeech,Islam,"['yet', 'another', 'sand', 'nigger', 'slaughters', 'innocents', 'hey', 'libscum', 'i', 'hope', 'your', 'sweet', 'little', 'tender', 'daughters', 'are', 'next', 'you', 'brought', 'this', 'scum', 'here', 'now', 'live', 'with', 'it']",yet another sand nigger slaughters innocents hey libscum i hope your sweet little tender daughters are next you brought this scum here now live with it,2
24,70,70,5529774_gab,hatespeech,Homosexual,"['yet', 'when', 'a', 'couple', 'of', 'filthy', 'dykes', 'want', 'you', 'to', 'pander', 'to', 'their', 'sins', 'as', 'you', 'see', 'them', 'you', 'must', 'comply', 'by', 'law', 'time', 'to', 'start', 'organizing', 'for', 'yourselves', 'no', 'one', 'else', 'is', 'gonna', 'do', 'it', 'for', 'you']",yet when a couple of filthy dykes want you to pander to their sins as you see them you must comply by law time to start organizing for yourselves no one else is gonna do it for you,3
25,72,72,24977683_gab,hatespeech,Islam,"['lol', 'that', 'why', 'i', 'wear', 'them', 'i', 'have', 'had', 'many', 'confrontations', 'with', 'the', 'pos', 'muzzies', 'and', 'black', 'panther', 'scum']",lol that why i wear them i have had many confrontations with the pos muzzies and black panther scum,2
26,73,73,10504469_gab,hatespeech,Jewish,"['reminds', 'me', 'of', 'a', 'college', 'fundraiser', 'to', 'help', 'a', 'kike', 'family', 'rebuild', 'their', 'burnt', 'house', 'the', 'father', 'was', 'a', 'magistrado', 'which', 'is', 'like', 'a', 'high', 'court', 'judge', 'so', 'they', 'were', 'richer', 'than', 'most', 'of', 'the', 'other', 'students', 'families']",reminds me of a college fundraiser to help a kike family rebuild their burnt house the father was a magistrado which is like a high court judge so they were richer than most of the other students families,1
28,75,75,14564271_gab,hatespeech,Jewish,"['i', 'tire', 'with', 'you', 'all', 'day', 'same', 'just', 'blah', 'blah', 'blah', 'kike', 'you', 'will', 'see', 'it', 'a', 'dream', 'cheese', 'puff', 'boy', 'go', 'bed', 'it', 'a', 'school', 'night', '😉']",i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night 😉,0
29,86,86,1174145333212930049_twitter,hatespeech,African,"['you', 'niggers', 'need', 'to', 'sack', 'up', 'and', 'tweet', 'nigger']",you niggers need to sack up and tweet nigger,0
30,91,91,17827276_gab,hatespeech,Islam,"['that', 'is', 'the', 'muzrat', 'strategy', 'in', 'every', 'country', 'they', 'infest']",that is the muzrat strategy in every country they infest,2
31,96,96,18743549_gab,hatespeech,African,"['sorry', 'about', 'the', 'nigger', 'comment', 'but', 'even', 'blacks', 'do', 'not', 'like', 'niggers']",sorry about the nigger comment but even blacks do not like niggers,0
32,98,98,23463421_gab,hatespeech,African,"['nd', 'only', '<percent>', 'nigger', 'but', 'jewish', 'culture', 'should', 'be', 'taken', 'into', 'account', 'here', 'thanks', 'jews']",nd only <percent> nigger but jewish culture should be taken into account here thanks jews,1
33,99,99,1178780987049889794_twitter,hatespeech,African,"['this', 'nigger', 'calling', 'me', 'juicy', 'lips', 'over', 'the', 'phone', 'wtf']",this nigger calling me juicy lips over the phone wtf,0
34,107,107,1178503399962300416_twitter,hatespeech,African,"['i', 'hate', 'fucking', 'niggers']",i hate fucking niggers,0
35,108,108,1178477971960672257_twitter,hatespeech,African,"['you', 'all', 'niggers', 'are', 'cancers']",you all niggers are cancers,0
36,111,111,1178382366080950276_twitter,hatespeech,African,"['man', 'i', 'hate', 'niggers']",man i hate niggers,0
38,118,118,1117488989362098177_twitter,hatespeech,African,"['this', 'nigger', 'just', 'saved', 'the', 'uk']",this nigger just saved the uk,0
39,123,123,15801100_gab,hatespeech,African,"['microchip', 'has', 'had', 'more', 'nigger', 'cocks', 'in', 'him', 'than', 'a', 'kfc', 'urinal', 'in', 'chicongo', 'on', 'mlk', 'day', '😎']",microchip has had more nigger cocks in him than a kfc urinal in chicongo on mlk day 😎,0
40,127,127,4105410_gab,hatespeech,African,"['god', 'bless', 'james', 'earl', 'ray', 'putting', 'down', 'that', 'nigger', 'mlk', 'to', 'save', 'all', 'those', 'white', 'girls', 'from', 'his', 'rapist', 'cock', 'maga']",god bless james earl ray putting down that nigger mlk to save all those white girls from his rapist cock maga,0
41,129,129,1178854367929106432_twitter,hatespeech,African,"['fucking', 'ulgly', 'ass', 'bitch', 'ass', 'stinky', 'ass', 'bitch', 'ass', 'nigger', 'slave', 'nigger', 'teacher', 'faggot', 'peace', 'of', 'shit', 'suck', 'a', 'dick']",fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,0
42,130,130,1178799354737565697_twitter,hatespeech,African,"['god', 'made', 'the', 'niggers', 'he', 'made', 'them', 'in', 'the', 'night', 'he', 'made', 'them', 'in', 'a', 'hurry', 'and', 'forgot', 'to', 'paint', 'them', 'white']",god made the niggers he made them in the night he made them in a hurry and forgot to paint them white,0
43,136,136,23018207_gab,hatespeech,Jewish,"['you', 'are', 'next', 'kike']",you are next kike,1
44,137,137,25902138_gab,hatespeech,Islam,"['the', 'muzzies', 'and', 'black', 'churches', 'have', 'always', 'been', 'given', 'a', 'pass', 'this', 'primarily', 'helps', 'conservative', 'churches', 'that', 'have', 'been', 'silent', 'on', 'political', 'issues', 'out', 'of', 'fear', 'of', 'losing', 'their', '5', '0', '1', 'c3', 'status']",the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status,3
45,140,140,18721090_gab,hatespeech,Islam,"['the', 'labour', 'party', 'has', '<number>', 'mps', 'in', 'prison', 'for', 'paedophilia', '<number>', 'mps', 'and', 'councillors', 'on', 'the', 'sex', 'registry', '<number>', 'million', 'white', 'kids', 'raped', 'by', 'paki', 'muslims', 'all', 'labour', 'voters', 'covered', 'up', 'by', 'labour', 'councils', 'mps', 'and', 'a', 'pm']",the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,2
46,141,141,15885342_gab,hatespeech,Islam,"['i', 'vote', '<number>', 'genocide', 'for', 'the', 'arab', 'and', 'nigger', 'scum', 'raping', 'our', 'women', 'killing', 'our', 'people', 'and', 'destroying', 'europe', 'also', 'include', 'the', 'traitors', 'who', 'support', 'the', 'destruction', 'of', 'our', 'people', 'and', 'our', 'ancestral', 'homelands', 'white', 'power']",i vote <number> genocide for the arab and nigger scum raping our women killing our people and destroying europe also include the traitors who support the destruction of our people and our ancestral homelands white power,0
47,142,142,10945897_gab,hatespeech,Islam,"['it', 'a', 'moslem', 'terrorist', 'tactic', 'attack', 'the', 'women', 'then', 'attack', 'the', 'men', 'when', 'they', 'come', 'to', 'help', 'like', 'when', 'a', 'first', 'explosion', 'will', 'cause', 'casualties', 'a', 'secondary', 'explosion', 'will', 'cause', 'more', 'casualties', 'the', 'medical', 'responders', 'and', 'onlookers', 'stay', 'safe', 'always', 'help', 'carry', 'and', 'conceal']",it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal,2
48,144,144,27513034_gab,hatespeech,African,"['that', 'his', 'sister', 'sheboon', 'friend', 'melissa', 'is', 'apparently', 'dating', 'some', 'blonde', 'dude']",that his sister sheboon friend melissa is apparently dating some blonde dude,0
49,154,154,22676555_gab,hatespeech,Jewish,"['lol', 'get', 'a', 'load', 'of', 'this', 'kike']",lol get a load of this kike,1
50,155,155,9831315_gab,hatespeech,African,"['pls', 'call', 'this', 'coon', 'out', 'for', 'the', 'of', 'impoverished', 'blks', 'living', 'on', 'he', 'brink', 'while', 'he', 'and', 'his', 'clowngressional', 'bleak', 'carcass', 'cbc', 'use', 'every', 'avenue', 'to', 'distract', 'from', 'their', 'cowardly', 'performances']",pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances,2
53,175,175,1179012930681085952_twitter,hatespeech,African,"['<user>', 'you', 'need', 'potassium', 'eat', 'a', 'banana', 'you', 'fucking', 'nigger']",<user> you need potassium eat a banana you fucking nigger,0
54,180,180,1163163689027022851_twitter,hatespeech,African,"['honestly', 'man', 'most', 'of', 'you', 'guys', 'are', 'nigger', 'faggots']",honestly man most of you guys are nigger faggots,0
55,185,185,17464469_gab,hatespeech,African,"['ah', 'shit', 'i', 'forgot', 'a', 'sheboon', 'stole', 'an', 'idea', 'from', 'a', 'white', 'person', 'and', 'made', 'god', 'a', 'black', 'woman', 'how', 'completely', 'fulfilling', 'of', 'the', 'stereotype', 'that', 'they', 'can', 'not', 'come', 'up', 'with', 'anything', 'on', 'their', 'own', 'and', 'steal', 'everything']",ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything,0
56,186,186,15481820_gab,hatespeech,African,"['make', 'the', 'word', 'nigger', 'great', 'again', 'make', 'racial', 'slurs', 'great', 'again', 'my', 'dad', 'told', 'us', 'bedtime', 'stories', 'w', 'bad', 'guys', 'jip', 'the', 'jap', 'jigaboo', 'jones', 'his', 'mom', 'my', 'german', 'grandmother', 'w', 'german', 'accent', 'always', 'called', 'blacks', 'darkies', 'jews', 'jewish', 'shysters', '<user>', 'pc', 'terminology', 'is', 'part', 'of', 'the', 'brainwashing']",make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters <user> pc terminology is part of the brainwashing,1
57,188,188,22358188_gab,hatespeech,Islam,"['do', 'not', 'worry', 'uk', 'you', 'worked', 'hard', 'cannot', 'afford', 'carehome', 'fees', 'we', 'take', 'your', 'house', 'oh', 'look', 'in', 'london', 'another', 'muzzie', 'family', 'in', 'a', 'nice', 'flat', 'good', 'on', 'you', 'where', 'the', 'tex', 'goes', 'its', 'a', 'shocker']",do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,2
58,191,191,20448576_gab,hatespeech,African,"['a', 'negress', 'too', 'dumb', 'to', 'fuck', 'has', 'a', 'scant', 'chance', 'of', 'understanding', 'anything', 'beyond', 'the', 'size', 'of', 'a', 'dick']",a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick,0
59,194,194,20317635_gab,hatespeech,Jewish,"['fuck', 'what', 'this', 'kike', 'cunt', 'has', 'to', 'say', 'only', 'thing', 'she', 'is', 'good', 'for', 'is', 'sticking', 'a', 'cock', 'down', 'her', 'throat', 'so', 'she', 'can', 'not', 'talk']",fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk,1
61,198,198,19206277_gab,hatespeech,Jewish,"['the', 'only', 'rationale', 'i', 'can', 'see', 'for', 'trump', 'not', 'firing', 'prosecuting', 'rosenstein', 'is', 'that', 'now', 'that', 'little', 'kike', 'is', 'in', 'his', 'pocket', 'bad', 'idea']",the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea,1
62,201,201,24241045_gab,hatespeech,Islam,"['people', 'are', 'getting', 'pissed', 'about', 'the', 'evil', 'muzrat', 'cult', 'and', 'gov', 't', 'complicity']",people are getting pissed about the evil muzrat cult and gov t complicity,2
63,203,203,20179103_gab,hatespeech,Homosexual,"['angry', 'bald', 'dyke']",angry bald dyke,3
64,204,204,15724226_gab,hatespeech,Homosexual,"['if', 'you', 'really', 'want', 'to', 'jack', 'up', 'the', 'gay', 'msm', 'cognitive', 'dissonance', 'we', 'need', 'to', 'see', 'more', 'dindu', 'on', 'homo', 'violence', 'episodes', 'drop', 'leaflets', 'on', 'chicago', 'splaining', 'that', 'gays', 'are', 'fond', 'of', 'carrying', 'fat', 'rolls', 'of', 'cash', 'one', 'day', 'the', 'media', 'queers', 'will', 'all', 'wake', 'up', 'in', 'a', 'log', 'cabin', 'with', 'questions']",if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions,3
65,205,205,4321340_gab,hatespeech,Jewish,"['<user>', 'lets', 'see', 'what', 'they', 'will', 'do', 'to', 'the', 'smelly', 'kike', 'who', 'composed', 'that', 'tweet', 'and', 'whose', 'name', 'is', 'visible', 'in', 'the', 'photo', 'the', 'world', 'awaits', 'his', 'lynching', 'with', 'relish']",<user> lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish,1
66,206,206,27652218_gab,hatespeech,Jewish,"['i', 'have', 'found', 'another', 'degenerate', 'who', 'is', 'pushing', 'smut', 'on', 'gab', 'not', 'a', 'joke', 'he', 'is', 'actually', 'promoting', 'smut', 'and', 'porn', '<user>', 'is', 'a', 'degenerate', 'diversity', 'kike', 'hiding', 'behind', 'patriotism', 'i', 'am', 'not', 'so', 'easily', 'fooled']",i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn <user> is a degenerate diversity kike hiding behind patriotism i am not so easily fooled,0
67,214,214,1081082371913465861_twitter,hatespeech,African,"['this', 'is', 'the', 'year', 'you', 'all', 'get', 'r', 'kelly', 'the', 'fidduck', 'out', 'of', 'here', 'sick', 'of', 'that', 'nigger']",this is the year you all get r kelly the fidduck out of here sick of that nigger,0
68,219,219,14549463_gab,hatespeech,African,"['i', 'love', 'your', 'pro', 'white', 'jack', 'o', 'lantern', 'fuck', 'that', 'nigger', 'and', 'fuck', 'the', 'national', 'african', 'american', 'communist', 'party', 'founded', 'and', 'run', 'by', 'jews', 'look', 'up', 'it', 'history', 'that', 'not', 'j.p.', 'sedita', 'saying', 'that', 'its', 'ok', 'to', 'be', 'white', 'altright', 'american', 'nationalist']",i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist,0
69,222,222,1178763845369597952_twitter,hatespeech,African,"['you', 'niggers', 'blow', 'my', 'mind']",you niggers blow my mind,0
70,225,225,16135672_gab,hatespeech,African,"['the', 'nigger', 'is', 'a', 'true', 'snake', 'charmer']",the nigger is a true snake charmer,0
71,253,253,1178864197884616704_twitter,hatespeech,Islam,"['<user>', '<user>', '<user>', '<user>', 'kick', 'that', 'raghead', 'out', 'of', 'america']",<user> <user> <user> <user> kick that raghead out of america,2
72,256,256,15730084_gab,hatespeech,African,"['nice', 'idea', 'but', 'i', 'doubt', 'it', 'as', 'my', 'jewish', 'gf', 'back', 'in', 'hs', 'used', 'to', 'say', 'a', 'jew', 'is', 'just', 'a', 'nigger', 'turned', 'inside', 'out', 'neither', 'can', 'ever', 'be', 'satisfied', 'if', 'you', 'give', 'a', 'jew', 'your', 'teeth', 'he', 'will', 'want', 'your', 'eyes', 'too']",nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too,1
73,257,257,10618535_gab,hatespeech,Islam,"['you', 'guys', 'in', 'germany', 'and', 'us', 'men', 'here', 'in', 'america', 'too', 'we', 'are', 'gonna', 'have', 'to', 'man', 'up', 'and', 'be', 'crusaders', 'this', 'musloid', 'bullshit', 'is', 'totally', 'unacceptable']",you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable,2
74,261,261,16877029_gab,hatespeech,African,"['the', 'nigger', 'problem']",the nigger problem,0
75,262,262,25693725_gab,hatespeech,African,"['wonder', 'which', 'nigger', 'i', 'bullycided', 'was', 'giving', 'you', 'the', 'dick', 'lol', 'now', 'i', 'have', 'to', 'deal', 'with', 'widows', 'great']",wonder which nigger i bullycided was giving you the dick lol now i have to deal with widows great,0
76,263,263,13362012_gab,hatespeech,Islam,"['rapture', 'theology', 'tightly', 'interwoven', 'with', 'ideas', 'about', 'the', 'rebirth', 'of', 'israel', 'has', 'inoculated', 'nearly', 'every', 'non', 'mainline', 'protestant', 'denomination', 'against', 'anti', 'semitism', 'meanwhile', 'the', 'mainlines', 'have', 'been', 'infiltrated', 'and', 'are', 'currently', 'obsessed', 'with', 'muzzies', 'and', 'trannies', 'xianity', 'has', 'collapsed']",rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed,1
77,264,264,25637354_gab,hatespeech,African,"['joy', 'reid', 'the', 'token', 'nigger', 'used', 'by', 'msnbc', 'to', 'stupid', 'to', 'realize', 'it']",joy reid the token nigger used by msnbc to stupid to realize it,0
78,273,273,27903408_gab,hatespeech,Islam,"['your', 'muzrat', 'gov', 't', 'will', 'never', 'allow', 'brexit']",your muzrat gov t will never allow brexit,2
79,274,274,5937259_gab,hatespeech,African,"['so', '<number>', 'communist', 'nigger', 'journalist', '<number>', 'windstorm', 'but', 'trump', 'has', 'caused', 'this', 'terrible', 'wave', 'of', 'hate', 'apparently', 'almighty', 'trump', 'controls', 'both', 'the', 'weather', 'bernie', 'supporters']",so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters,1
80,275,275,3649082_gab,hatespeech,Homosexual,"['fakebook', 'just', 'suspended', 'me', '<number>', 'days', 'for', 'insulting', 'rosie', 'odonnell', 'for', 'calling', 'trump', 'mentally', 'insane', 'it', 'was', 'worth', 'the', '<number>', 'days', 'you', 'are', 'still', 'a', 'man', 'hating', 'fat', 'dyke', 'rosie', 'lol']",fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane it was worth the <number> days you are still a man hating fat dyke rosie lol,0
81,276,276,21202566_gab,hatespeech,African,"['excuse', 'me', 'but', 'those', 'are', 'not', 'people', 'those', 'are', 'niggers', '🐒', 'buffalo', 'nostril', 'shitskin', 'burrheaded', 'knuckle', 'runnin', 'spear', 'chucking', 'welfare', 'monkey', 'spaboolie', 'spook', 'coon', 'moolie', 'niggers', '😑', 'niggers', 'make', 'me', 'fucking', 'sick', '😡', '😡', '😡']",excuse me but those are not people those are niggers 🐒 buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers 😑 niggers make me fucking sick 😡 😡 😡,0
82,277,277,14375005_gab,hatespeech,African,"['i', 'see', 'you', 'are', 'friends', 'with', 'the', 'nigger', 'cyph', 'who', 'gives', 'a', 'fuck', 'what', 'you', 'think', 'muted', 'dude']",i see you are friends with the nigger cyph who gives a fuck what you think muted dude,0
83,278,278,23615794_gab,hatespeech,Jewish,"['<user>', 'this', 'ugly', 'kike', 'cunt', 'keeps', 'showing', 'up', 'on', 'my', 'timeline']",<user> this ugly kike cunt keeps showing up on my timeline,1
84,280,280,6175208_gab,hatespeech,African,"['ricky', 'vaughn', 'uses', 'his', 'anonymity', 'to', 'say', 'the', 'words', 'nigger', 'and', 'faggot', 'without', 'repercussions', 'and', 'so', 'many', 'people', 'on', 'gab', 'love', 'it', 'lol']",ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol,0
85,281,281,16878503_gab,hatespeech,African,"['<percent>', 'of', 'niggers', 'who', 'get', 'shot', 'by', 'police', 'in', 'america', 'deserve', 'it', 'and', 'should', 'never', 'be', 'conflated', 'with', 'whites', 'who', 'get', 'shot', 'by', 'incompetent', '<number>', 'iq', 'nigger', 'diversity', 'hire', 'cops']",<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops,0
86,282,282,10904633_gab,hatespeech,Homosexual,"['yes', 'but', 'queers', 'are', 'too', 'self', 'righteous', 'to', 'let', 'them', 'be', 'included', 'originally', 'the', 'gay', 'and', 'pedophile', 'communities', 'were', 'working', 'together', 'nambla', 'was', 'started', 'by', 'gay', 'men', 'who', 'liked', 'boys', 'now', 'all', 'subsets', 'of', 'pedophiles', 'are', 'members', 'assuming', 'nambla', 'still', 'exists']",yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists,3
87,283,283,21544944_gab,hatespeech,Islam,"['the', 'muzrat', 'trash', 'call', 'everyone', 'a', 'racist']",the muzrat trash call everyone a racist,2
